,pred2
0,0.24083753
1,0.25126696
2,0.23386462
3,0.22576205
4,0.23386462
5,0.23386462
6,0.24083753
7,0.22576205
8,0.24664785
9,0.22576205
10,0.25126696
11,0.22576205
12,0.24083753
13,0.23386462
14,0.25684276
15,0.25126696
16,0.25126696
17,0.24083753
18,0.23386462
19,0.2165664
20,0.24664785
21,0.23386462
22,0.22576205
23,0.25126696
24,0.23386462
25,0.25467125
26,0.25467125
27,0.24083753
28,0.24083753
29,0.22576205
30,0.24664783
31,0.23386462
32,0.23386462
33,0.25126696
34,0.25744587
35,0.23386462
36,0.22576205
37,0.24664785
38,0.25126696
39,0.2165664
40,0.24664785
41,0.23386462
42,0.23386462
43,0.24083753
44,0.23386462
45,0.2165664
46,0.24083753
47,0.25467125
48,0.25467125
49,0.24083753
50,0.24083753
51,0.24083753
52,0.25684276
53,0.22576205
54,0.24083753
55,0.24664785
56,0.24083753
57,0.24664785
58,0.23386462
59,0.23386462
60,0.24083753
61,0.24083753
62,0.25126696
63,0.24083753
64,0.25126696
65,0.23386462
66,0.25126696
67,0.25684276
68,0.25684276
69,0.22576205
70,0.24664785
71,0.25684276
72,0.22576205
73,0.24083753
74,0.23386462
75,0.25126696
76,0.23386462
77,0.25126696
78,0.23386462
79,0.25126696
80,0.24664785
81,0.25776947
82,0.24083753
83,0.22576205
84,0.22576205
85,0.24083753
86,0.22576205
87,0.24083753
88,0.24664785
89,0.24664785
90,0.23386462
91,0.25126696
92,0.2165664
93,0.24083753
94,0.23386462
95,0.25684273
96,0.25126696
97,0.22576205
98,0.25467125
99,0.2165664
100,0.24664785
101,0.24664785
102,0.25587302
103,0.24083753
104,0.25126696
105,0.25126696
106,0.24083753
107,0.25467125
108,0.25126696
109,0.25126696
110,0.23386462
111,0.25467125
112,0.23386462
113,0.23386462
114,0.24664785
115,0.25684276
116,0.25684276
117,0.25126696
118,0.23386462
119,0.22576205
120,0.23386462
121,0.22576205
122,0.23386462
123,0.23386462
124,0.23386462
125,0.22576205
126,0.25126696
127,0.24083753
128,0.24083753
