,pred1
0,0.25126696
1,0.25126696
2,0.24664785
3,0.23386462
4,0.24083753
5,0.25126696
6,0.24664785
7,0.24083753
8,0.22576205
9,0.24664785
10,0.25467125
11,0.24083753
12,0.25126696
13,0.23386462
14,0.25126696
15,0.25126696
16,0.25467125
17,0.24083753
18,0.23386462
19,0.23386462
20,0.24664785
21,0.25126696
22,0.24664785
23,0.25126696
24,0.24083753
25,0.24664785
26,0.24664785
27,0.25467125
28,0.25126696
29,0.24083753
30,0.25684273
31,0.23386462
32,0.24664785
33,0.24083753
34,0.22576205
35,0.24664785
36,0.23386462
37,0.24664785
38,0.23386462
39,0.23386462
40,0.25126696
41,0.24664785
42,0.23386462
43,0.25126696
44,0.25126696
45,0.24083753
46,0.24083753
47,0.25126696
48,0.24664785
49,0.23386462
50,0.25684276
51,0.25467125
52,0.25684276
53,0.24083753
54,0.24083753
55,0.25126696
56,0.23386462
57,0.25467125
58,0.25126696
59,0.24083753
60,0.24083753
61,0.25467125
62,0.22576205
63,0.21656641
64,0.25776947
65,0.25744587
66,0.25744587
67,0.22576205
68,0.25467125
69,0.25126696
70,0.25684276
71,0.25776947
72,0.24664785
73,0.2165664
74,0.23386462
75,0.25467125
76,0.25467125
77,0.24664785
78,0.25744587
79,0.25126696
80,0.2530586
81,0.24083753
82,0.25467125
83,0.25126696
84,0.22576205
85,0.24664785
86,0.24664785
87,0.22576205
88,0.24083753
89,0.22576205
90,0.24083753
91,0.25126696
92,0.24664785
93,0.25776947
94,0.2577695
95,0.24083753
96,0.24664785
97,0.25126696
98,0.25126696
99,0.24664785
100,0.22576205
101,0.22576205
102,0.24664785
103,0.25744587
104,0.25126696
105,0.25126696
106,0.25744587
107,0.23386462
108,0.22576205
109,0.24664785
110,0.25126696
111,0.25684276
112,0.23386462
113,0.23386462
114,0.25467125
115,0.24083753
116,0.24664785
117,0.25126696
118,0.25126696
119,0.24083753
120,0.23386462
121,0.25126696
122,0.24664785
123,0.25684276
124,0.24083753
125,0.2165664
126,0.25467125
127,0.23386462
128,0.22576205
129,0.24083753
130,0.24083753
131,0.23386462
132,0.24083753
133,0.24083753
134,0.25776947
135,0.24083753
136,0.25126696
137,0.24083753
138,0.25126696
139,0.24664785
140,0.25776947
141,0.25684276
142,0.25467125
143,0.25744587
144,0.25467125
145,0.23386462
146,0.24664785
147,0.24083753
148,0.25126696
149,0.24901728
150,0.25744587
151,0.25126696
152,0.25467125
153,0.23386462
154,0.25126696
155,0.25684276
156,0.25467125
157,0.25467125
158,0.24083753
159,0.21656641
160,0.24664785
161,0.24664785
162,0.25684276
163,0.22576205
164,0.24664785
165,0.24083753
166,0.25467125
